 Qtd. ações, Estrategia,  Qtd. Clientes, Qtd. Cotações,  Qtd.  Consultas, Tempo de execução(ms), pico de memória(kb)
10,imediata,10,10,10,0.603792,3880
10,sob_demanda,10,10,10,0.56995,3916
1000,imediata,10,10,10,20.1432,3980
1000,sob_demanda,10,10,10,17.0695,4016
10000,imediata,10,10,10,547.654,6952
10000,sob_demanda,10,10,10,530.117,7172
50000,imediata,10,10,10,9505.88,18788
50000,sob_demanda,10,10,10,9145.92,18856
100000,imediata,10,10,10,22262.399999999998,33928
100000,sob_demanda,10,10,10,22205.300000000003,34072
